ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered,tot_enrollment,teacher_fte,prop_frl,re_amind,re_asian,re_black,re_hisp,re_missing,re_multi,re_nathi,re_white,prop_gen_female,prop_gen_miss
410192001211,OR,45.475914,-122.837263,38900,2014-2015,1,41067,Washington County,41,OREGON,Chehalem Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001159,Open,Regular School,No,No,N,502,28.55,0.599601593625498,0.00398406374501992,0.061752988047808766,0.03386454183266932,0.39641434262948205,0,0.09362549800796813,0.00796812749003984,0.40239043824701193,0.5139442231075697,NA
410192001211,OR,45.475914,-122.837263,38900,2015-2016,1,41067,Washington County,41,OREGON,Chehalem Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001159,Open,Regular School,No,No,No,531,32.46,0.5499058380414312,0,0.0583804143126177,0.035781544256120526,0.3860640301318267,0,0.10734463276836158,0.01694915254237288,0.3954802259887006,0.480225988700565,NA
410192001212,OR,45.464608,-122.850746,38900,2014-2015,1,41067,Washington County,41,OREGON,Cooper Mountain Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001160,Open,Regular School,No,No,N,514,24.71,0.16342412451361868,0.0038910505836575876,0.14785992217898833,0.023346303501945526,0.09533073929961089,0,0.09922178988326848,0.0038910505836575876,0.6264591439688716,0.4980544747081712,NA
410192001212,OR,45.464608,-122.850746,38900,2015-2016,1,41067,Washington County,41,OREGON,Cooper Mountain Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001160,Open,Regular School,No,No,No,505,26.94,0.14653465346534653,0.0039603960396039604,0.13663366336633664,0.023762376237623763,0.09702970297029703,0,0.09504950495049505,0.0019801980198019802,0.6415841584158416,0.4693069306930693,NA
410192001212,OR,45.464608,-122.850746,38900,2016-2017,1,41067,Washington County,41,OREGON,Cooper Mountain Elementary School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001160,Open,Regular School,No,No,No,2650,27.85,0.0430188679245283,0.0022641509433962265,0.04377358490566038,0.00830188679245283,0.04150943396226415,0.6,0.04679245283018868,0.0030188679245283017,0.25433962264150944,0.18188679245283018,0.6
410192001212,OR,45.464608,-122.850746,38900,2017-2018,1,41067,Washington County,41,OREGON,Cooper Mountain Elementary School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001160,Open,Regular School,No,No,No,2635,27.91,0.03453510436432638,0.0015180265654648956,0.047817836812144215,0.009108159392789373,0.04098671726755218,0.6,0.04629981024667932,7.590132827324478e-4,0.2535104364326376,0.17988614800759015,0.6
410192001213,OR,45.473755,-122.818284,38900,2014-2015,1,41067,Washington County,41,OREGON,Fir Grove Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001163,Open,Regular School,No,No,N,508,27.60,0.5393700787401575,0.003937007874015748,0.021653543307086614,0.025590551181102362,0.3031496062992126,0,0.10236220472440945,0.013779527559055118,0.5295275590551181,0.4921259842519685,NA
410192001213,OR,45.473755,-122.818284,38900,2015-2016,1,41067,Washington County,41,OREGON,Fir Grove Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001163,Open,Regular School,No,No,No,501,31.1,0.48303393213572854,0.005988023952095809,0.01996007984031936,0.033932135728542916,0.29740518962075846,0,0.11976047904191617,0.015968063872255488,0.5069860279441117,0.48303393213572854,NA
410192001213,OR,45.473755000000004,-122.818284,38900,2016-2017,1,41067,Washington County,41,OREGON,Fir Grove Elementary School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001163,Open,Regular School,No,No,No,2340,29.90,0.10641025641025641,0.0017094017094017094,0.01282051282051282,0.009401709401709401,0.11794871794871795,0.6,0.040170940170940174,0.011111111111111112,0.20683760683760682,0.1829059829059829,0.6
410192001213,OR,45.473755000000004,-122.818284,38900,2017-2018,1,41067,Washington County,41,OREGON,Fir Grove Elementary School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001163,Open,Regular School,No,No,No,2235,27.53,0.09888143176733781,0.0017897091722595079,0.014317673378076063,0.017002237136465325,0.10648769574944071,0.6,0.040268456375838924,0.0071588366890380315,0.21297539149888142,0.18791946308724833,0.6
410192001215,OR,45.4692,-122.8832,38900,2014-2015,1,41067,Washington County,41,OREGON,Hazeldale Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001164,Open,Regular School,No,No,N,441,23.98,0.5192743764172335,0.011337868480725623,0.09523809523809523,0.006802721088435374,0.31746031746031744,0,0.07256235827664399,0.006802721088435374,0.4897959183673469,0.48072562358276644,NA
410192001215,OR,45.4692,-122.8832,38900,2015-2016,1,41067,Washington County,41,OREGON,Hazeldale Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001164,Open,Regular School,No,No,No,522,30.55,0.524904214559387,0.005747126436781609,0.1053639846743295,0.019157088122605363,0.30842911877394635,0,0.07279693486590039,0.01532567049808429,0.4731800766283525,0.4827586206896552,NA
410192001215,OR,45.4692,-122.8832,38900,2016-2017,1,41067,Washington County,41,OREGON,Hazeldale Elementary School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001164,Open,Regular School,No,No,No,2580,36.00,0.10426356589147287,0.0031007751937984496,0.03798449612403101,0.007751937984496124,0.12248062015503876,0.6,0.027906976744186046,0.002325581395348837,0.19844961240310077,0.19844961240310077,0.6
410192001215,OR,45.4692,-122.8832,38900,2017-2018,1,41067,Washington County,41,OREGON,Hazeldale Elementary School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001164,Open,Regular School,No,No,No,2260,33.49,0.10353982300884956,0.004424778761061947,0.04070796460176991,0.0035398230088495575,0.12831858407079647,0.6,0.02654867256637168,0.0017699115044247787,0.19469026548672566,0.18761061946902655,0.6
