county,business_name,type_of_care,licensure,quality_rating,area_code,phone,city,lattitude,longitude
clackamas,JoAnne's Daycare,Family Child Care,Licensed - Registered Family,NA,503,908-0357,Gladstone,45.386554,-122.589152
clackamas,Milwaukie Covenant Preschool,Preschool Program,Unlicensed - Recorded,NA,503,654-4138,Milwaukie,45.434498,-122.60035699999999
clackamas,Shirley's Daycare,Family Child Care,Licensed - Registered Family,NA,503,616-6033,Milwaukie,45.458642,-122.62853699999998
clackamas,Little House Creative Preschool,Preschool Program,Unlicensed - Recorded,NA,503,462-4139,Milwaukie,45.455448,-122.60287299999999
clackamas,Thunder Elite,Preschool Program,Unlicensed - Recorded,NA,503,353-7779,Clackamas,45.408150000000006,-122.53143
clackamas,A & 4D Enterprise Inc,Family Child Care,Licensed - Registered Family,NA,503,655-4558,Gladstone,45.39221800000001,-122.579243
clackamas,Byrd House - Beginnings & Lady Bugs,Family Child Care,Licensed - Certified Family,NA,503,740-6115,Clackamas,45.41998399999999,-122.54384900000001
clackamas,(ECC) Toddz Land,(CCC) Emergency Care,Licensed - Registered Family,NA,415,407-8107,Lake Oswego,45.40873800000001,-122.67472799999999
clackamas,(ECC)Little Blessings,(CCC) Emergency Care,Licensed - Registered Family,NA,503,577-3440,Clackamas,45.424262999999996,-122.522211
clackamas,(ECC) Anne Zerba childcare,Family Child Care,Unlicensed - Exempt,NA,503,929-9860,Milwaukie,45.444692999999994,-122.62418699999999
clackamas,(ECC) Building Blocks Early Learning Center,Child Care Center,Licensed - Certified Center,NA,503,694-1191,Wilsonville,45.29865900000001,-122.774721
clackamas,(ECC) JJ's Daycare,(CCC) Emergency Care,Licensed - Certified Family,NA,503,880-2682,Gladstone,45.38478299999999,-122.58501799999999
clackamas,(ECC) Puddle Jumpers Preschool & Childcare,(CCC) Emergency Care,Licensed - Certified Center,NA,503,582-1632,Wilsonville,45.297726000000004,-122.774766
clackamas,(ECC) Anna's Child Care,Family Child Care,Licensed - Registered Family,NA,971,344-4256,Milwaukie,45.45159999999999,-122.58784
clackamas,LA CRECHE (International Leadership Academy),Family Child Care,Licensed - Certified Family,NA,503,662-8452,Lake Oswego,45.402324,-122.72728300000001
clackamas,(SUB) Sharalie Lokey,(CCC) Substitute Staff,"Licensed - Certified Center, Licensed - Certified Family, Licensed - Registered Family, Unlicensed - School Partners, Unlicensed - In Home Care",NA,503,592-3740,Canby,45.279387,-122.67543999999998
clackamas,Lake Oswego Emergency Child Care,School Age Program,NA,NA,503,534-2126,Lake Oswego,45.402094,-122.69141900000001
clackamas,North Clackamas School District - Ardenwald CARE,School Age Program,Unlicensed - Exempt,NA,503,353-6090,Milwaukie,45.45784499999999,-122.624126
clackamas,(ECC) Canby Learning Tree,Child Care Center,Licensed - Certified Center,NA,503,263-2345,Canby,45.254166999999995,-122.696027
clackamas,(ECC) Early Years Children's Center - Lake Oswego,Child Care Center,Licensed - Certified Center,NA,503,754-0454,Lake Oswego,45.396453,-122.728903
clackamas,The Children's Hour Academy - Jean Road,Child Care Center,Licensed - Certified Center,NA,503,635-2139,Lake Oswego,45.397521,-122.72532199999999
clackamas,(ECC) Kidspire Preschool,(CCC) Emergency Care,Licensed - Certified Family,NA,503,297-2006,Lake Oswego,45.406435,-122.72275499999999
clackamas,(ECC) Happy Faces Daycare,Family Child Care,Licensed - Registered Family,NA,503,935-1050,Milwaukie,45.434819,-122.59621000000001
clackamas,(ECC) Kris's Day Care,(CCC) Emergency Care,Licensed - Registered Family,NA,503,659-4259,Milwaukie,45.423685,-122.638525
clackamas,(ECC) Sandi's Daycare,Family Child Care,Licensed - Registered Family,NA,503,310-5527,Oregon City,45.320211,-122.603122
clackamas,(ECC),Family Child Care,Licensed - Registered Family,NA,503,659-1695,Milwaukie,NA,NA
clackamas,(ECC) Evergreen Child Development Center,Child Care Center,Licensed - Certified Center,NA,503,682-3647,Wilsonville,45.303779,-122.76460600000001
clackamas,(ECC) Early Horizon Day School,(CCC) Emergency Care,Licensed - Certified Center,NA,503,829-3444,Molalla,45.146167,-122.576226
clatsop,Simply Kids Preschool,Family Child Care,Licensed - Registered Family,3 Star Program,503,325-4687,Astoria,46.146214,-123.83155400000001
clatsop,(ECC) Warrenton Prep,(CCC) Emergency Care,Licensed - Certified Center,3 Star Program,503,861-2281,Warrenton,46.159462,-123.930575
clatsop,Pam's Kountry Kidds,Family Child Care,Licensed - Registered Family,C2Q,503,861-4361,Warrenton,46.112055000000005,-123.922366
clatsop,(ECC) Jeri's Starfish Minis in Home Daycare,(CCC) Emergency Care,Licensed - Registered Family,C2Q,360,508-9278,Astoria,46.169942000000006,-123.729131
clatsop,(ECC) Suzanne Kindred,(CCC) Emergency Care,Licensed - Registered Family,C2Q,503,325-0878,Astoria,46.180960999999996,-123.83321600000001
clatsop,Lil Sprouts Academy,Child Care Center,Unlicensed - Exempt,NA,503,325-8669,Astoria,46.18167699999999,-123.85235399999999
clatsop,(ECC) Astoria Playhouse Preschool,(CCC) Emergency Care,Licensed - Certified Family,NA,503,812-4433,Astoria,46.189702000000004,-123.802699
clatsop,Lil Explorers Outdoor School,Preschool Program,Unlicensed - Exempt,NA,503,440-8560,Hammond,46.198220000000006,-123.979734
clatsop,"Mrs. Tami's Daycare & Preschool, LLC",Child Care Center,Licensed - Certified Center,NA,503,738-4001,Seaside,NA,NA
clatsop,(ECC),Family Child Care,Unlicensed - Exempt,NA,503,298-1887,Seaside,NA,NA
clatsop,Anchor Christian Academy,Preschool Program,Licensed - Certified Center,NA,503,861-3333,Hammond,46.19894000000001,-123.94631500000001
clatsop,(ECC),(CCC) Other - Unlicensed,Unlicensed - Exempt,NA,503,739-2869,Seaside,NA,NA
clatsop,Warrenton Calvary Learning Center,Preschool Program,Unlicensed - Recorded,NA,503,861-1712,Warrenton,46.152763,-123.928565
clatsop,(ECC),Family Child Care,Licensed - Registered Family,NA,503,468-0300,Astoria,NA,NA
columbia,NW Oregon Head Start - Clatskanie,Preschool Program,Licensed - Certified Center,5 Star Program,503,728-2940,Clatskanie,46.098898000000005,-123.210838
columbia,NW Oregon Head Start - Rainier,Child Care Center,"Licensed - Certified Center, Unlicensed - School Partners",5 Star Program,503,728-2940,Rainier,46.091273,-122.989051
columbia,(ECC) Small Town Day Care,Family Child Care,Licensed - Registered Family,3 Star Program,503,366-1012,St Helens,45.869455,-122.803446
